Nombre;Email;Rating Google;Google Place ID;Columna1;Columna2;Columna3;Columna4
Área AC y Caravanas Covelo;016-online@igualdad.gob.es;4.5;ChIJ8f3fiPF9JQ0R-stlnjw46vA;;;;
Caravana de Castellón;20hola@camperplana.com;4.2;ChIJUziVm_D_nxIRTz3F7wuXi1I;;;;
Área de Autocaravanas La Peza;20lapeza@dipgra.es;4.6;ChIJh6Y1EmYnbg0R6eZJBbCH-BI;;;;
AUTOCARAVANAS MONTAÑO SL;a.c.montano@hotmail.com;4.3;ChIJZ4Oovc5wEg0RgPY5TD1UBL4;;;;
Accitrucks;accitrucks@gmail.com;4.8;ChIJfe6EE67Ubw0R39de5yzRUxQ;;;;
Àrea Recreativa La Cañada;admin@pinademontalgrao.es;4.4;ChIJk9Es-0sqXg0RbceCuil2tLw;;;;
Parking de Caravanas;adresse@exemple.com;4;ChIJoWg8AwAbaA0RmX5L9P5phBw;;;;
Camperiza-T;aigendm@gmail.com;4.7;ChIJxVixv4yFNw0RtJnXO0SZymE;;;;
Camper Park Beas de Granada;ajax-loader@2x.gif;4.8;ChIJe84LAAvhcQ0RjpLuVhpq_IE;;;;
Àrea d’autocaravanes de Prats de Lluçanès;ajuntament@pratsdellucanes.cat;4.4;ChIJt1rSoqMbpRIR9b_jI7Z2hqU;;;;
Área de AC y caravanas Ribadavia;alcaldia@ribadavia.es;4.4;ChIJiQ1hxMiKLw0R8yTS0VkckM8;;;;
ALCARAUTO;alcarautopinoreal@gmail.com;4.8;ChIJjffvta9vEg0RYai8xnkzDYE;;;;
Algarve Campingcar Park;algarvecampingcarpark@gmail.com;4.5;ChIJQ6GsxRXRGg0RKpiETIlzp9I;;;;
Pangea Vans - Camperización de furgonetas - Alquiler de campers;aloha@pangeavans.com;5;ChIJlweoaF1JYA0RZDjgNG0bv5Y;;;;
Walabi Camper - Alquiler de Campers;alquiler@walabicamper.com;4.6;ChIJg2YHLVdNYA0RzbgYbuYaV5U;;;;
HOME PYRENNES CARAVANING;alquileresjaca@gmail.com;5;ChIJBwIlR5OBVw0RmJfvB2KimsM;;;;
